,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
152,2020-01-19,中国,CN,广东省,440000,,,1,0,0,0
153,2020-01-19,中国,CN,广东省,440000,深圳市,440300,1,0,0,0
164,2020-01-20,中国,CN,广东省,440000,,,14,7,0,0
206,2020-01-21,中国,CN,广东省,440000,,,26,0,0,0
207,2020-01-21,中国,CN,广东省,440000,广州市,440100,2,0,0,0
208,2020-01-21,中国,CN,广东省,440000,韶关市,440200,2,0,0,0
209,2020-01-21,中国,CN,广东省,440000,深圳市,440300,14,0,0,0
210,2020-01-21,中国,CN,广东省,440000,珠海市,440400,4,0,0,0
211,2020-01-21,中国,CN,广东省,440000,佛山市,440600,1,0,0,0
212,2020-01-21,中国,CN,广东省,440000,湛江市,440800,2,0,0,0
213,2020-01-21,中国,CN,广东省,440000,惠州市,441300,1,0,0,0
285,2020-01-22,中国,CN,广东省,440000,,,32,0,0,0
286,2020-01-22,中国,CN,广东省,440000,广州市,440100,5,0,0,0
287,2020-01-22,中国,CN,广东省,440000,韶关市,440200,2,0,0,0
288,2020-01-22,中国,CN,广东省,440000,深圳市,440300,15,0,0,0
289,2020-01-22,中国,CN,广东省,440000,珠海市,440400,4,0,0,0
290,2020-01-22,中国,CN,广东省,440000,佛山市,440600,1,0,0,0
291,2020-01-22,中国,CN,广东省,440000,湛江市,440800,2,0,0,0
292,2020-01-22,中国,CN,广东省,440000,肇庆市,441200,1,0,0,0
293,2020-01-22,中国,CN,广东省,440000,惠州市,441300,1,0,0,0
294,2020-01-22,中国,CN,广东省,440000,中山市,442000,1,0,0,0
442,2020-01-23,中国,CN,广东省,440000,,,53,0,2,0
443,2020-01-23,中国,CN,广东省,440000,广州市,440100,7,0,0,0
444,2020-01-23,中国,CN,广东省,440000,韶关市,440200,3,0,0,0
445,2020-01-23,中国,CN,广东省,440000,深圳市,440300,15,0,2,0
446,2020-01-23,中国,CN,广东省,440000,珠海市,440400,8,0,0,0
447,2020-01-23,中国,CN,广东省,440000,佛山市,440600,6,0,0,0
448,2020-01-23,中国,CN,广东省,440000,湛江市,440800,2,0,0,0
449,2020-01-23,中国,CN,广东省,440000,肇庆市,441200,1,0,0,0
450,2020-01-23,中国,CN,广东省,440000,惠州市,441300,5,0,0,0
451,2020-01-23,中国,CN,广东省,440000,阳江市,441700,3,0,0,0
452,2020-01-23,中国,CN,广东省,440000,清远市,441800,1,0,0,0
453,2020-01-23,中国,CN,广东省,440000,中山市,442000,2,0,0,0
665,2020-01-24,中国,CN,广东省,440000,,,78,0,2,0
666,2020-01-24,中国,CN,广东省,440000,广州市,440100,14,0,0,0
667,2020-01-24,中国,CN,广东省,440000,韶关市,440200,3,0,0,0
668,2020-01-24,中国,CN,广东省,440000,深圳市,440300,20,0,2,0
669,2020-01-24,中国,CN,广东省,440000,珠海市,440400,10,0,0,0
670,2020-01-24,中国,CN,广东省,440000,汕头市,440500,1,0,0,0
671,2020-01-24,中国,CN,广东省,440000,佛山市,440600,9,0,0,0
672,2020-01-24,中国,CN,广东省,440000,湛江市,440800,2,0,0,0
673,2020-01-24,中国,CN,广东省,440000,肇庆市,441200,2,0,0,0
674,2020-01-24,中国,CN,广东省,440000,惠州市,441300,7,0,0,0
675,2020-01-24,中国,CN,广东省,440000,阳江市,441700,5,0,0,0
676,2020-01-24,中国,CN,广东省,440000,清远市,441800,2,0,0,0
677,2020-01-24,中国,CN,广东省,440000,东莞市,441900,1,0,0,0
678,2020-01-24,中国,CN,广东省,440000,中山市,442000,2,0,0,0
929,2020-01-25,中国,CN,广东省,440000,,,98,0,2,0
930,2020-01-25,中国,CN,广东省,440000,广州市,440100,14,0,0,0
931,2020-01-25,中国,CN,广东省,440000,韶关市,440200,3,0,0,0
932,2020-01-25,中国,CN,广东省,440000,深圳市,440300,27,0,2,0
933,2020-01-25,中国,CN,广东省,440000,珠海市,440400,10,0,0,0
934,2020-01-25,中国,CN,广东省,440000,汕头市,440500,2,0,0,0
935,2020-01-25,中国,CN,广东省,440000,佛山市,440600,10,0,0,0
936,2020-01-25,中国,CN,广东省,440000,湛江市,440800,4,0,0,0
937,2020-01-25,中国,CN,广东省,440000,肇庆市,441200,4,0,0,0
938,2020-01-25,中国,CN,广东省,440000,惠州市,441300,8,0,0,0
939,2020-01-25,中国,CN,广东省,440000,阳江市,441700,6,0,0,0
940,2020-01-25,中国,CN,广东省,440000,清远市,441800,3,0,0,0
941,2020-01-25,中国,CN,广东省,440000,东莞市,441900,2,0,0,0
942,2020-01-25,中国,CN,广东省,440000,中山市,442000,2,0,0,0
943,2020-01-25,中国,CN,广东省,440000,揭阳市,445200,3,0,0,0
1255,2020-01-26,中国,CN,广东省,440000,,,146,0,2,0
1256,2020-01-26,中国,CN,广东省,440000,广州市,440100,39,0,0,0
1257,2020-01-26,中国,CN,广东省,440000,韶关市,440200,4,0,0,0
1258,2020-01-26,中国,CN,广东省,440000,深圳市,440300,36,0,2,0
1259,2020-01-26,中国,CN,广东省,440000,珠海市,440400,12,0,0,0
1260,2020-01-26,中国,CN,广东省,440000,汕头市,440500,2,0,0,0
1261,2020-01-26,中国,CN,广东省,440000,佛山市,440600,14,0,0,0
1262,2020-01-26,中国,CN,广东省,440000,湛江市,440800,5,0,0,0
1263,2020-01-26,中国,CN,广东省,440000,肇庆市,441200,4,0,0,0
1264,2020-01-26,中国,CN,广东省,440000,惠州市,441300,8,0,0,0
1265,2020-01-26,中国,CN,广东省,440000,梅州市,441400,1,0,0,0
1266,2020-01-26,中国,CN,广东省,440000,汕尾市,441500,1,0,0,0
1267,2020-01-26,中国,CN,广东省,440000,阳江市,441700,8,0,0,0
